id_cie	cod	descrip
170	A303	Lepra limitrofe
171	A304	Lepra lepromatosa limitrofe
172	A305	Lepra lepromatosa
173	A308	Otras formas de lepra
174	A309	Lepra, no especificada
175	A31	Infecciones debidas a otras micobacterias
176	A310	Infecciones por micobacterias pulmonares
177	A311	Infeccion cutanea por micobacterias
178	A318	Otras infecciones por micobacterias
179	A319	Infeccion por micobacteria, no especificada
180	A32	Listeriosis
181	A320	Listeriosis cutanea
182	A321	Meningitis y meningoencefalitis listeriana
183	A327	Septicemia listeriana
184	A328	Otras formas de listeriosis
185	A329	Listeriosis, no especificada
186	A33	Tetanos neonatal
187	A34	Tetanos obstetrico
188	A35	Otros tetanos
189	A36	Difteria
190	A360	Difteria faringea
191	A361	Difteria nasofaringea
192	A362	Difteria laringea
193	A363	Difteria cutanea
194	A368	Otras difterias
195	A369	Difteria, no especificada
196	A37	Tos ferina (tos convulsiva)
197	A370	Tos ferina debida a bordetella pertussis
198	A371	Tos ferina debida a bordetella parapertussis
199	A378	Tos ferina debida a otras especies de bordetella
200	A379	Tos ferina, no especificada
201	A38	Escarlatina
202	A39	Infección meningocócica
203	A390	Meningitis meningococica (g01)
204	A391	Sindrome de waterhouse
205	A392	Meningococemia aguda
206	A393	Meningococemia cronica
207	A394	Meningococemia, no especificada
208	A395	Enfermedad cardiaca debida a meningococo
209	A398	Otras infecciones meningococicas
210	A399	Infeccion meningococica, no especificada
211	A40	Septicemia estreptocócica
212	A400	Septicemia debida a estreptococo, grupo a
213	A401	Septicemia debida a estreptococo, grupo b
214	A402	Septicemia debida a estreptococo, grupo d
215	A403	Septicemia debida a streptococcus pneumoniae
216	A408	Otras septicemias estreptococicas
217	A409	Septicemia estreptococica, no especificada
218	A41	Otras septicemias
219	A410	Septicemia debida staphylococcus aureus
220	A411	Septicemia debida a otro estafilococo especificado
221	A412	Septicemia debida a estafilococo no especificado
222	A413	Septicemia debida a haemophilus influenzae
223	A414	Septicemia debida a anaerobios
224	A415	Septicemia debida a otros organismos gramnegativos
225	A418	Otras septicemias especificadas
226	A419	Septicemia, no especificada
227	A42	Actinomicosis
228	A420	Actinomicosis pulmonar
229	A421	Actinomicosis abdominal
230	A422	Actinomicosis cervicofacial
231	A427	Septicemia actinomicotica
232	A428	Otras formas de actinomicosis
233	A429	Actinomicosis, sin otra especificacion
234	A43	Nocardiosis
235	A430	Nocardiosis pulmonar
236	A431	Nocardiosis cutanea
237	A438	Otras formas de nocardiosis
238	A439	Norcardiosis , no especificada
239	A44	Bartonelosis
240	A440	Bartonelosis sistemica
241	A441	Bartonelosis cutanea y mucocutanea
242	A448	Otras formas de bartonelosis
243	A449	Bartonelosis, no especificada
244	A46	Erisipela
245	A48	Otras enfermedades bacterianas, no clasificadas en otra parte
246	A480	Gangrena gaseosa
247	A481	Enfermedad de los legionarios
248	A482	Enfermedad de los legionarios no neumonica [fiebre de pontiac]
249	A483	Sindrome de choque toxico
250	A484	Fiebre purpurica brasileña
251	A488	Otras enfermedades bacterianas especificadas
252	A49	Infección bacteriana de sitio no especificado
253	A490	Infeccion estafilococica, sin otra especificacion
254	A491	Infeccion estreptococica, sin otra especificacion
255	A492	Infeccion por haemophilus influenzae, sin otra especificacion
256	A493	Infeccion por micoplasma, sin otra especificacion
257	A498	Otras infecciones bacterianas de sitio no especificado
258	A499	Infeccion bacteriana, no especificada
259	A500	Sifilis congenita precoz, sintomatica
260	A501	Sifilis congenita precoz, latente
261	A502	Sifilis congenita precoz sin otra especificacion
262	A503	Oculopatia sifilitica congenita tardia
263	A504	Neurosifilis congenita tardia [neurosifilis juvenil]
264	A505	Otras formas de sifilis congenita tardia, sintomatica
265	A506	Sifilis congenita tardia, latente
266	A507	Sifilis congenita tardia, sin otra especificacion
267	A509	Sifilis congenita, sin otra especificacion
268	A510	Sifilis genital primaria
269	A511	Sifilis primaria anal
270	A512	Sifilis primaria en otros sitios
271	A513	Sifilis secundaria de piel y membranas mucosas
272	A514	Otras sifilis secundarias
273	A515	Sifilis precoz, latente
274	A519	Sifilis precoz, sin otra especificacion
275	A52	Sífilis tardía
276	A520	Sifilis cardiovascular
277	A521	Neurosifilis sintomatica
278	A522	Neurosifilis asintomatica
279	A523	Neurosifilis no especificada
280	A527	Otras sifilis tardias sintomaticas
281	A528	Sifilis tardia, latente
282	A529	Sifilis tardia, no especificada
283	A53	Otras sífilis y las no especificadas
284	A530	Sifilis latente, no especificada como precoz o tardia
285	A539	Sifilis, no especificada
286	A54	Infección gonocócica
287	A540	Infeccion gonococica del tracto genitourinario inferior sin absceso periuretral o de glandula accesoria
288	A541	Infeccion gonococica del tracto genitourinario inferior con absceso periuretral y de glandulas accesorias
289	A542	Pelviperitonitis gonococica y otras infecciones gonococicas genitourinarias
290	A543	Infeccion gonococica del ojo
291	A544	Infeccion gonococica del sistema osteomuscular
292	A545	Faringitis gonococica
293	A546	Infeccion gonococica del ano y del recto
294	A548	Otras infecciones gonococicas
295	A549	Infeccion, gonococica, no especificada
296	A55	Linfogranuloma (venereo) por clamidias
297	A56	Otras enfermedades de transmisión sexual debidas a clamidias
298	A560	Infeccion del tracto genitourinario inferior debida a clamidias
299	A561	Infeccion del pelviperitoneo y otros organos genitourinarios debida a clamidias
300	A562	Infecciones del tracto genitourinario debidas a clamidias, sin otra especificacion
301	A563	Infeccion del ano y del recto debida a clamidias
302	A564	Infeccion de faringe debida a clamidias
303	A568	Infeccion de transmision sexual de otros sitios debida a clamidias
304	A57	Chancro blando
305	A58	Granuloma inguinal
306	A59	Tricomoniasis
307	A590	Tricomoniasis urogenital
308	A598	Tricomoniasis de otros sitios
309	A599	Tricomoniasis, no especificada
310	A60	Infección anogenital debida a virus del herpes (herpes simple)
311	A600	Infeccion de genitales y trayecto urogenital y debida a virus del herpes [herpes simple]
312	A601	Infeccion de la piel perianal y recto por virus del herpes simple
313	A609	Infeccion anogenital por virus del herpes simple, sin otra especificacion
314	A63	Otras enfermedades de transmision predominantemente sexual, no clasificadas en otrasa parte
315	A630	Verrugas (venereas) anogenitales
316	A638	Otras enfermedades de transmision predominantemente sexual, especificadas
317	A64	Enfermedad de transmision sexual no especificada
318	A65	Sifilis no venerea
319	A66	Frambesia
320	A660	Lesiones iniciales de frambesia
321	A661	Lesiones papilomatosas multiples y frambesia con paso de cangrejo
322	A662	Otras lesiones precoces de la piel en la frambesia
323	A663	Hiperqueratosis de frambesia
324	A664	Goma y ulceras de frambesia
325	A665	Gangosa
326	A666	Lesiones frambesicas de los huesos y de las articulaciones
327	A667	Otras manifestaciones de frambesia
328	A668	Frambesia latente
329	A669	Frambesia , no especificada
330	A67	Pinta (carate)
331	A670	Lesiones primarias de la pinta
332	A671	Lesiones intermedias de la pinta
333	A672	Lesiones tardias de la pinta
334	A673	Lesiones mixtas de la pinta
335	A679	Pinta, no especificada
336	A68	Fiebres recurrentes
337	A680	Fiebre recurrente transmitida por piojos
338	A681	Fiebre recurrente transmitida por garrapatas
339	A689	Fiebre recurrente, no especificada
340	A69	Otras infecciones causadas por espiroquetas
341	A690	Estomatitis ulcerativa necrotizante
342	A691	Otras infecciones de vicent
343	A692	Enfermedad de lyme
344	A698	Otras infecciones especificadas por espiroquetas
345	A699	Infeccion por espiroqueta, no especificada
346	A70	Infeccion debida a chlamydia psittaci
347	A71	Tracoma
348	A710	Estado inicial de tracoma
349	A711	Estado activo de tracoma
350	A719	Tracoma, no especificado
351	A74	Otras enfermedades causadas por clamidias
352	A740	Conjuntivitis por clamidias (h13.1)
353	A748	Otras enfermedades por clamidias
354	A749	Infeccion por clamidias, no especificada
355	A75	Tifus
356	A750	Tifus epidemico debido a rickettsia prowazekii transmitido por piojos
357	A751	Tifus recrudescente [enfermedad de brill]
358	A752	Tifus debido a rickettsia typhi
359	A753	Tifus debido a rickettsia tsutsugamushi
360	A759	Tifus, no especificado
361	A77	Fiebre maculosa (rickettsiosis transmitida por garrapatas)
362	A770	Fiebre maculosa debido a rickettsia rickettsii
363	A771	Fiebre maculosa debido a rickettsia conorii
364	A772	Fiebre maculosa debido a rickettsia siberica
365	A773	Fiebre maculosa debido a rickettsia australis
366	A778	Otras fiebres maculosas
367	A779	Fiebre maculosa, no especificada
368	A78	Fiebre q
369	A79	Otras rickettsiosis
370	A790	Fiebre de las trincheras
371	A791	Rickettsiosis pustulosa debida a rickettsia akari
372	A798	Otras rickettsiosis especificadas
373	A799	Rickettsiosis, no especificada
374	A80	Poliomielitis aguda
375	A800	Poliomielitis aguda paralitica, asociada a vacuna
376	A801	Poliomielitis aguda paralitica debida a virus salvaje importado
377	A802	Poliomielitis aguda paralitica debida a virus salvaje autoctono
378	A803	Otras poliomielitis agudas paraliticas, y no las especificadas
379	A804	Poliomielitis aguda no paralitica
380	A809	Poliomielitis aguda, sin otra especificacion
381	A81	Infecciones del sistema nervioso central por virus atipico
382	A810	Enfermedad de creutzfeldt
383	A811	Panencefalitis esclerosante subaguda
384	A812	Leucoencefalopatia multifocal progresiva
385	A818	Otras infecciones del sistema nervioso por virus atipico
386	A819	Infecciones del sistema nervioso central por virus atipico, sin otra especificacion
387	A82	Rabia
388	A820	Rabia selvatica
389	A821	Rabia urbana
390	A829	Rabia, sin otra especificacion
391	A83	Encefalitis viral transmitida por mosquitos
392	A830	Encefalitis japonesa
393	A831	Encefalitis equina del oeste
394	A832	Encefalitis equina del este
395	A833	Encefalitis de san luis
396	A834	Encefalitis australiana
397	A835	Encefalitis de california
398	A836	Enfermedad por virus rocio
399	A838	Otras encefalitis virales transmitidas por mosquitos
400	A839	Encefalitis viral transmitida por mosquitos, sin otra especificacion
401	A84	Encefalitis viral transmitida por garrapatas
402	A840	Encefalitis del lejano oriente transmitida por garrapatas [encefalitis primaveroestival rusa]
403	A841	Encefalitis centroeuropea transmitida por garrapatas
404	A848	Otras encefalitis virales transmitidas por garrapatas
405	A849	Encefalitis viral transmitida por garrapatas, sin otra especificacion
406	A85	Otras encefalitis virales, no clasificadas en otra parte
407	A850	Encefalitis enteroviral (g05.1)
408	A851	Encefalitis por adenovirus (g05.1)
409	A852	Encefalitis viral transmitida por artropodos, sin otra especificacion
410	A858	Otras encefalitis virales especificadas
411	A86	Encefalitis viral, no especificada
412	A87	Meningitis viral
413	A870	Meningitis enteroviral (g02.0)
414	A871	Meningitis debida a adenovirus (g02.0)
415	A872	Coriomeningitis linfocitica
416	A878	Otras meningitis virales
417	A879	Meningitis viral, sin otra especificacion
418	A88	Otras infecciones virales del sistema nervioso central, no clasificadas en otra parte
419	A880	Fiebre exantematica enteroviral [exantema de boston]
420	A881	Vertigo epidemico
421	A888	Otras infecciones virales especificadas del sistema nervioso central
422	A89	Infeccion viral del sistema nervioso central, no especificada
423	A90	Fiebre del dengue [dengue clasico]
424	A91	Fiebre del dengue hemorragico
425	A92	Otras fiebres virales transmitidas por mosquitos
426	A920	Enfermedad por virus chikungunya
427	A921	Fiebre de oÂ´nyong
428	A922	Fiebre equina venezolana
429	A923	Fiebre del oeste del nilo
430	A924	Fiebre del valle del rift
431	A928	Otras fiebres virales especificadas transmitidas por mosquitos
432	A929	Fiebre viral transmitida por mosquito, sin otra especificacion
433	A93	Otras fiebres virales transmitidas por artrópodos, no clasificadas en otra parte
434	A930	Enfermedad por virus de oropouche
435	A931	Fiebre transmitida por flebotomos
436	A932	Fiebre de colorado transmitida por garrapatas
437	A938	Otras fiebres virales especificadas transmitidas por antropodos
438	A94	Fiebre viral transmitida por artropodos, no especificada
439	A95	Fiebre amarilla
440	A950	Fiebre amarilla selvatica
441	A951	Fiebre amarilla urbana
442	A959	Fiebre amarilla, no especificada
443	A96	Fiebre hemorrágica por arenavirus
444	A960	Fiebre hemorragica de junin
445	A961	Fiebre hemorragica de machupo
446	A962	Fiebre de lassa
447	A968	Otras fiebres hemorragicas por arenavirus
448	A969	Fiebre hemorragica por arenavirus, sin otra especificacion
449	A98	Otras fiebres virales hemorrágicas, no clasificadas en otra parte
450	A980	Fiebre hemorragica de crimea
451	A981	Fiebre hemorragica de omsk
452	A982	Enfermedad de la selva de kyasanur
453	A983	Enfermedad por el virus de marburg
454	A984	Enfermedad por el virus de ebola
455	A985	Fiebres hemorragicas con sindrome renal
456	A988	Otras fiebres hemorragicas virales especificadas
457	A99	Fiebre viral hemorragica, no especificada
458	B00	Infecciones herpética [herpes simple]
459	B000	Eczema herpetico
460	B001	Dermatitis vesicular herpetica
461	B002	Gingivoestomatitis y faringoamigdalitis herpetica
462	B003	Meningitis herpetica (g02.0)
463	B004	Encefalitis herpetica (g05.1)
464	B005	Oculopatia herpetica
465	B007	Enfermedad herpetica diseminada
466	B008	Otras formas de infecciones herpeticas
467	B009	Infeccion debida a el virus del herpes, no especificada
468	B01	Varicela
469	B010	Meningitis debida a la varicela (g02.0)
470	B011	Encefalitis debida a la varicela (g05.1)
471	B012	Neumonia debida a la varicela (j17.1)
472	B018	Varicela con otras complicaciones
473	B019	Varicela sin complicaciones
474	B02	Herpes zoster
475	B020	Encefalitis debida a herpes zoster (g05.1)
476	B021	Meningitis debida a herpes zoster (g02.0)
477	B022	Herpes zoster con otros compromisos del sistema nervioso
478	B023	Herpes zoster ocular
479	B027	Herpes zoster diseminado
480	B028	Herpes zoster con otras complicaciones
481	B029	Herpes zoster sin complicaciones
482	B03	Viruela
483	B04	Viruela de los monos
484	B05	Sarampión
485	B050	Sarampion complicado con encefalitis (g05.1)
486	B051	Sarampion complicado con meningitis (g02.0)
487	B052	Sarampion complicado con neumonia (j17.1)
488	B053	Sarampion complicado con otitis media (h67.1)
489	B054	Sarampion con complicaciones intestinales
490	B058	Sarampion con otras complicaciones
491	B059	Sarampion sin complicaciones
492	B06	Rubéola [sarampión alemán]
493	B060	Rubeola con complicaciones neurologicas
494	B068	Rubeola con otras complicaciones
495	B069	Rubeola sin complicaciones
496	B07	Verrugas viricas
497	B08	Otras infeciones víricas caracterizadas por lesiones de la piel y de l
498	B080	Otras infecciones debidas a ortopoxvirus
499	B081	Molusco contagioso
500	B082	Exantema subito [sexta enfermedad]
501	B083	Eritema infeccioso [quinta enfermedad]
502	B084	Estomatitis vesicular enteroviral con exantema
503	B085	Faringitis vesicular enterovirica
504	B088	Otras infecciones virales especificadas, caracterizadas por lesiones de la piel y de las membranas mucosas
505	B09	Infeccion viral no especificada, caracterizada por lesiones de la piel y de las membranas mucosas
506	B15	Hepatitis aguda tipo A
507	B150	Hepatitis aguda tipo a, sin coma hepatico
508	B159	Hepatitis aguda tipo a, con coma hepatico
509	B16	Hepatitis aguda tipo B
510	B160	Hepatitis aguda tipo b, con agente delta (coinfeccion). con coma hepatico
511	B161	Hepatitis aguda tipo b, con agente delta (coinfeccion), sin coma hepatico
512	B162	Hepatitis aguda tipo b, sin agente delta, con coma hepatico
513	B169	Hepatitis aguda tipo b, sin agente delta y sin coma hepatico
514	B17	Otras hepatitis virales agudas
515	B170	Infeccion (superinfeccion) aguda por agente delta en el portador de hepatitis b
516	B171	Hepatitis aguda tipo c
517	B172	Hepatitis aguda tipo e
518	B178	Otras hepatitis virales agudas especificadas
519	B18	Hepatitis viral crónica
520	B180	Hepatitis viral tipo b cronica, con agente delta
521	B181	Hepatitis viral tipo b cronica, sin agente delta
522	B182	Hepatitis viral tipo c cronica
523	B188	Otras hepatitis virales cronicas
524	B189	Hepatitis viral cronica, sin otra especificacion
525	B19	Hepatitis viral, sin otra especificación
526	B190	Hepatitis viral no especificada con coma
527	B199	Hepatitis viral no especificada sin coma
528	B20	Enfermedad por virus de la inmunodeficiencia humana [VIH], resultante en enfermedades infecciosas y parasitarias
529	B200	Enfermedad por el vih, resultante en infeccion por micobacterias
530	B201	Enfermedad por el vih, resultante en otras infecciones bacterianas
531	B202	Enfermedad por vih, resultante en enfermedad por citomegalovirus
532	B203	Enfermedad por vih, resultante en otras infecciones virales
533	B204	Enfermedad por vih, resultante en candidiasis
534	B205	Enfermedad por vih, resultante en otras micosis
535	B206	Enfermedad por vih, resultante en neumonia por pneumocystis carinii
536	B207	Enfermedad por vih, resultante en infecciones multiples
537	B208	Enfermedad por vih, resultante en otras enfermedades infecciosas o parasitarias
538	B209	Enfermedad por vih, resultante en enfermedad infecciosa o parasitaria no especificada
539	B21	Enfermedad por virus de la inmunodeficiencia humana [VIH], resultante en tumores malignos
540	B210	Enfermedad por vih, resultante en sarcoma de kaposi
541	B211	Enfermedad por vih, resultante en linfoma de burkitt
542	B212	Enfermedad por vih, resultante en otros tipos de linfoma no hodgkin
543	B213	Enfermedad por vih, resultante en otros tumores malignos del tejido linfoide, hematopoyetico y tejidos relacionados
544	B217	Enfermedad por vih, resultante en tumores malignos multiples
545	B218	Enfermedad por vih, resultante en otros tumores malignos
546	B219	Enfermedad por vih, resultante en tumores malignos no especificados
547	B22	Enfermedad por virus de la inmunodeficiencia humana [VIH], resultante en otras enfermedades especificadas
548	B220	Enfermedad por vih, resultante en encefalopatia
549	B221	Enfermedad por vih, resultante en neumonitis linfoide intersticial
550	B222	Enfermedad por vih, resultante en sindrome caquectico
551	B227	Enfermedad por vih, resultante en enfermedades multiples clasificadas en otra parte
552	B23	Enfermedad por virus de la inmunodeficiencia humana [VIH], resultante en otras afecciones
553	B230	Sindrome de infeccion aguda debida a vih
554	B231	Enfermedad por vih, resultante en linfadenopatia generalizada (persistente)
555	B232	Enfermedad por vih, resultante en anormalidades inmunologicas y hematologicas, no clasificadas en otra parte
556	B238	Enfermedad por vih, resultante en otras afecciones especificadas
557	B24	Enfermedad por virus de la inmunodeficiencia humana (vih), sin otra especificacion
558	B25	Enfermedad debida a virus citomegálico
559	B250	Neumonitis debida a virus citomegalico (j17.1)
560	B251	Hepatitis debida a virus citomegalico
561	B252	Pancreatitis debida a virus citomegalico
562	B258	Otras enfermedades debidas a virus citomegalico
563	B259	Enfermedad por virus citomegalico, no especificada
564	B26	Parotiditis infecciosa
565	B260	Orquitis por parotiditis (n51.1)
566	B261	Meningitis por parotiditis (g02.0)
567	B262	Encefalitis por parotiditis (g05.1)
568	B263	Pancreatitis por parotiditis (k87.1)
569	B268	Parotiditis infecciosa con otras complicaciones
570	B269	Parotiditis, sin complicaciones
571	B27	Mononucleosis infecciosa
572	B270	Mononucleosis debida a herpes virus gamma
573	B271	Mononucleosis por citomegalovirus
574	B278	Otras mononucleosis infecciosas
575	B279	Mononucleosis infecciosa, no especificada
576	B30	Conjuntivitis viral
577	B300	Queratoconjuntivitis debida a adenovirus (h19.2)
578	B301	Conjuntivitis debida a adenovirus (h13.1)
579	B302	Faringoconjuntivitis viral
580	B303	Conjuntivitis epidemica aguda hemorragica (enterovirica) (h13.1)
581	B308	Otras conjuntivitis virales (h13.1)
582	B309	Conjuntivitis viral, sin otra especificacion
583	B33	Otras enfermedades virales, no clasificadas en otra parte
584	B330	Mialgia epidemica
585	B331	Enfermedad del rio ross
586	B332	Carditis viral
587	B333	Infecciones debidas a retrovirus, no clasificadas en otra parte
588	B338	Otras enfermedades virales especificadas
589	B34	Infección viral de sitio no especificado
590	B340	Infeccion debida a adenovirus, sin otra especificacion
591	B341	Infeccion debida a enterovirus, sin otra especificacion
592	B342	Infeccion debida a coronavirus, sin otra especificacion
593	B343	Infeccion debida a parvovirus, sin otra especificacion
594	B344	Infeccion debida a papovavirus, sin otra especificacion
595	B348	Otras infecciones virales de sitio no especificado
596	B349	Infeccion viral, no especificada
597	B35	Dermatofitosis
598	B350	Tiña de la barba y del cuero cabelludo
599	B351	Tiña de las uñas
600	B352	Tiña de la mano
601	B353	Tiña del pie [tinea pedis]
602	B354	Tiña del cuerpo [tinea corporis]
603	B355	Tiña imbricada [tinea imbricata]
604	B356	Tiña inguinal [tinea cruris]
605	B358	Otras dermatofitosis
606	B359	Dermatofitosis, no especificada
607	B36	Otras micosis superficiales
608	B360	Pitiriasis versicolor
609	B361	Tiña negra
610	B362	Piedra blanca
611	B363	Piedra negra
612	B368	Otras micosis superficiales especificadas
613	B369	Micosis superficial, sin otra especificacion
614	B37	Candidiasis
615	B370	Estomatitis candidiasica
616	B371	Candidiasis pulmonar
617	B372	Candidiasis de la piel y de las uñas
618	B373	Candidiasis de la vulva y de la vagina (n77.1)
